DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES
2022-01-15 04:00:00.0000000;289215078203392;410311882440704;sxk96j;148;5;67;124
2022-01-15 05:00:00.0000000;289215078203392;410311882440704;sxk96j;145;6;62;205
2022-01-15 06:00:00.0000000;289215078203392;410311882440704;sxk96j;119;6;59;339
2022-01-15 07:00:00.0000000;289215078203392;410311882440704;sxk96j;124;7;62;357
2022-01-15 08:00:00.0000000;289215078203392;410311882440704;sxk96j;135;1;59;515
2022-01-20 03:00:00.0000000;289215078203392;410311882440704;sxk96j;138;3;61;102
2022-01-20 04:00:00.0000000;289215078203392;410311882440704;sxk96j;135;6;66;118
2022-01-20 05:00:00.0000000;289215078203392;410311882440704;sxk96j;131;1;64;286
2022-01-20 06:00:00.0000000;289215078203392;410311882440704;sxk96j;113;5;56;553
2022-01-20 07:00:00.0000000;289215078203392;410311882440704;sxk96j;103;1;49;564
2022-01-20 08:00:00.0000000;289215078203392;410311882440704;sxk96j;125;2;41;442
2022-01-20 09:00:00.0000000;289215078203392;410311882440704;sxk96j;120;1;43;447
2022-01-20 10:00:00.0000000;289215078203392;410311882440704;sxk96j;115;2;43;528
2022-01-24 23:00:00.0000000;289215078203392;410311882440704;sxk96j;60;6;26;96
2022-01-25 00:00:00.0000000;289215078203392;410311882440704;sxk96j;68;2;28;117
2022-01-25 01:00:00.0000000;289215078203392;410311882440704;sxk96j;82;6;35;114
2022-01-25 02:00:00.0000000;289215078203392;410311882440704;sxk96j;88;9;41;94
2022-01-25 03:00:00.0000000;289215078203392;410311882440704;sxk96j;88;9;44;84
2022-01-25 04:00:00.0000000;289215078203392;410311882440704;sxk96j;96;6;46;82
2022-01-25 05:00:00.0000000;289215078203392;410311882440704;sxk96j;100;5;44;123
2022-01-25 06:00:00.0000000;289215078203392;410311882440704;sxk96j;94;6;47;245
2022-01-30 01:00:00.0000000;289215078203392;410311882440704;sxk96j;125;6;64;192
2022-01-30 02:00:00.0000000;289215078203392;410311882440704;sxk96j;136;7;65;141
2022-01-30 03:00:00.0000000;289215078203392;410311882440704;sxk96j;148;7;65;88
2022-01-30 04:00:00.0000000;289215078203392;410311882440704;sxk96j;130;7;65;94
2022-01-30 05:00:00.0000000;289215078203392;410311882440704;sxk96j;119;6;61;142
2022-01-30 06:00:00.0000000;289215078203392;410311882440704;sxk96j;122;2;56;195
2022-01-30 07:00:00.0000000;289215078203392;410311882440704;sxk96j;121;7;57;190
2022-05-01 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;123;6;61;164
2022-05-01 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;120;6;57;188
2022-05-01 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;125;6;62;182
2022-02-04 23:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;141;12;65;317
2022-09-03 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;126;4;64;432
2022-09-03 08:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;115;6;61;426
2022-09-03 09:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;118;1;59;422
2022-02-03 09:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;103;2;35;629
2022-02-03 10:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;103;1;37;565
2022-02-03 11:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;99;1;43;538
2022-02-04 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;6;60;549
2022-02-04 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;121;1;56;558
2022-02-04 08:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;114;3;59;489
2022-05-07 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;126;6;66;421
2022-09-02 17:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;101;3;46;232
2022-09-02 18:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;105;1;33;247
2022-09-07 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;131;6;65;227
2022-09-06 08:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;106;1;32;284
2022-09-06 09:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;125;1;29;413
2022-05-04 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;139;6;58;215
2022-05-14 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;144;6;62;131
2022-05-14 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;136;6;65;137
2022-05-06 23:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;127;3;52;312
2022-05-07 00:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;145;6;65;278
